@RELATION socialList
@ATTRIBUTE char_length numeric
@ATTRIBUTE number_of_words numeric
@ATTRIBUTE presence_of_days {0,1}
@ATTRIBUTE presence_of_numbers {0,1}
@ATTRIBUTE presence_of_noun {0,1}
@ATTRIBUTE presence_of_adjective {0,1}
@ATTRIBUTE presence_of_verbs {0,1}
@ATTRIBUTE presence_of_adverb {0,1}
@ATTRIBUTE presence_of_pronouns {0,1}
@ATTRIBUTE pos_tag_entropy real
@ATTRIBUTE ratio_of_non_english_to_english_words real
@ATTRIBUTE search_results_titles {0,1}
@ATTRIBUTE class {0,1}
@DATA
21reasonswhywelovejustin, 29, 1, 0, 1, 1, 0, 1, 1, 1, 2.58496250072, 1 , 1
handwrittenpreorderin2days, 29, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 2 , 1
whatislovein4words, 22, 1, 0, 0, 1, 0, 1, 0, 1, 2.32192809489, 2 , 1
oneminutetochill, 19, 1, 0, 1, 1, 0, 1, 0, 0, 2.0, 2 , 1
mylastwordsin5words, 24, 1, 0, 1, 1, 1, 0, 0, 0, 2.25162916739, 2 , 1
mytombstonein5words, 22, 1, 0, 1, 1, 0, 0, 0, 0, 1.5, 2 , 1
royalrumblein5words, 22, 1, 0, 1, 1, 0, 0, 0, 0, 1.5, 1 , 1
highschoolin5words, 22, 1, 0, 1, 1, 1, 0, 0, 0, 2.32192809489, 2 , 1
ruinafriendshipin5words, 27, 1, 0, 1, 1, 0, 1, 0, 0, 1.92192809489, 2 , 1
4bestwordsever, 17, 1, 0, 1, 1, 1, 0, 1, 0, 2.0, 2 , 1
internationalwomansday, 24, 1, 0, 0, 1, 1, 0, 0, 0, 1.58496250072, 2 , 1
preorderhandwrittenin3days, 29, 1, 0, 1, 1, 1, 1, 0, 0, 1.5, 2 , 1
20thingsaboutmyinternetfriend, 34, 1, 0, 1, 1, 0, 0, 0, 0, 2.25162916739, 2 , 1
breakfastofchampions, 22, 1, 0, 0, 1, 0, 0, 0, 0, 1.58496250072, 2 , 1
21reasonswhyweloveharry, 28, 1, 0, 1, 1, 0, 1, 1, 1, 2.58496250072, 1 , 1
proudtobeirish, 17, 1, 0, 0, 0, 1, 1, 0, 0, 2.0, 2 , 1
valentinesdaygiftideas, 25, 1, 0, 0, 1, 0, 0, 0, 0, 1.0, 1 , 1
fastway2014moments, 21, 1, 0, 1, 1, 1, 0, 0, 0, 2.0, 2 , 1
fav20daysofdallasvideo, 26, 1, 0, 1, 1, 0, 0, 0, 0, 1.92192809489, 0 , 1
nationalcleavageday, 21, 1, 0, 0, 1, 1, 0, 0, 0, 0.918295834054, 2 , 1
stateoftheunioninthreewords, 33, 1, 0, 1, 1, 0, 0, 0, 0, 2.23592635063, 2 , 1
peoplewhomademy2014, 22, 1, 0, 0, 1, 0, 1, 0, 1, 2.0, 2 , 1
dailythoughtsin4words, 24, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 2 , 1
thingstoleavein2014, 22, 1, 0, 0, 1, 0, 1, 0, 0, 2.0, 2 , 1
trueshadesofawoman, 22, 1, 0, 0, 1, 1, 0, 0, 0, 2.32192809489, 2 , 1
junioryearin5words, 22, 1, 0, 1, 1, 1, 0, 0, 0, 2.32192809489, 2 , 1
thestruggleofahighnigga, 28, 1, 0, 0, 1, 1, 0, 0, 0, 1.91829583405, 2 , 1
nationalstationeryweek, 24, 1, 0, 0, 1, 1, 0, 0, 0, 0.918295834054, 2 , 1
healthytravelersummit, 23, 1, 0, 0, 1, 1, 0, 0, 0, 0.918295834054, 2 , 1
internationalyogaday, 22, 1, 0, 0, 1, 1, 0, 0, 0, 0.918295834054, 2 , 1
nationaldayofprayer, 22, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 2 , 1
myteamsyearin5words, 24, 1, 0, 1, 1, 0, 0, 0, 0, 2.25162916739, 2 , 1
nationalhighfiveday, 22, 1, 0, 1, 1, 1, 0, 0, 0, 1.5, 2 , 1
61reasonstoshop, 18, 1, 0, 1, 1, 0, 0, 0, 0, 2.0, 2 , 1
shazamtop20onedirectiontix, 29, 1, 0, 1, 1, 0, 0, 0, 0, 1.5, 2 , 1
nationalsuperheroday, 22, 1, 0, 0, 1, 1, 0, 0, 0, 0.918295834054, 2 , 1
thewinningedgeconference, 27, 1, 0, 0, 1, 1, 0, 0, 0, 0.811278124459, 2 , 1
50reasonswhywelovejade, 27, 1, 0, 1, 1, 0, 1, 1, 1, 2.58496250072, 1 , 1
worst3wordpickuplines, 25, 1, 0, 0, 1, 1, 1, 0, 0, 2.32192809489, 2 , 1
5thingsmybosssays, 21, 1, 0, 1, 1, 0, 1, 0, 0, 2.32192809489, 2 , 1
whatwouldyoudofor100dollars, 33, 1, 0, 1, 1, 0, 1, 0, 1, 2.80735492206, 2 , 1
inspiredbyincrediblethings, 29, 1, 0, 0, 1, 1, 1, 0, 0, 2.0, 2 , 1
iloveblackwomenbecause, 26, 1, 0, 0, 1, 1, 1, 0, 1, 2.32192809489, 2 , 1
blackwomenappreciationday, 28, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 2 , 1
bestsongof2015, 17, 1, 0, 1, 1, 1, 0, 0, 0, 2.0, 2 , 1
nationalgardeningweek, 23, 1, 0, 0, 1, 1, 0, 0, 0, 0.918295834054, 2 , 1
lessinterestingfilms, 22, 1, 0, 0, 1, 1, 0, 0, 0, 1.58496250072, 2 , 1
40reasonswhyweloveenriqueiglesias, 39, 1, 0, 1, 1, 0, 1, 1, 1, 2.80735492206, 1 , 1
sophomoreyearin5words, 25, 1, 0, 1, 1, 0, 0, 0, 0, 1.92192809489, 2 , 1
nationalfishandchipday, 26, 1, 0, 0, 1, 1, 0, 0, 0, 1.37095059445, 2 , 1
50reasonswhyweloveleigh, 28, 1, 0, 1, 1, 0, 1, 1, 1, 2.58496250072, 0 , 1
dirtytalkin4words, 20, 1, 0, 1, 1, 1, 0, 0, 0, 2.0, 2 , 1
reasonsobamamissedfrancerally, 33, 1, 0, 0, 1, 0, 1, 0, 0, 1.92192809489, 1 , 1
3thingsthatmakeyousmile, 28, 1, 0, 1, 1, 0, 1, 0, 1, 2.58496250072, 2 , 1
22thingsiloveaboutzayn, 27, 1, 0, 1, 1, 0, 1, 0, 1, 2.58496250072, 1 , 1
freshmanyearin5words, 24, 1, 0, 1, 1, 0, 0, 0, 0, 2.32192809489, 2 , 1
iloveportugalbecause, 23, 1, 0, 0, 1, 0, 1, 0, 1, 1.5, 1 , 1
cardsagainsthumanity, 22, 1, 0, 0, 1, 0, 0, 0, 0, 1.58496250072, 2 , 1
reasonswhyimsingle, 21, 1, 0, 0, 1, 1, 0, 1, 0, 2.0, 2 , 1
nationalbesfriendday, 24, 1, 0, 0, 1, 0, 1, 0, 0, 1.52192809489, 2 , 1
facesofprostitution, 21, 1, 0, 0, 1, 0, 1, 0, 0, 1.58496250072, 2 , 1
nationalcheeseloversday, 26, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 2 , 1
happyblackhistorymonth, 25, 1, 0, 0, 1, 1, 0, 0, 0, 1.0, 2 , 1
22reasonswhywelovezayn, 27, 1, 0, 1, 1, 0, 1, 1, 1, 2.58496250072, 0 , 1
winnersaregrinners, 21, 1, 0, 0, 1, 0, 1, 0, 0, 1.5, 1 , 1
happyeastersunday, 19, 1, 1, 0, 1, 1, 0, 0, 0, 0.918295834054, 2 , 1
fiftyshadesoffashionsweeps, 30, 1, 0, 1, 1, 0, 0, 0, 0, 1.92192809489, 2 , 1
excusesforthecrimein5words, 32, 1, 0, 1, 1, 0, 0, 0, 0, 2.23592635063, 2 , 1
happynationalsiblingday, 26, 1, 0, 0, 1, 1, 0, 0, 0, 1.0, 2 , 1
voteforlittlemix, 19, 1, 0, 0, 1, 1, 1, 0, 0, 1.5, 2 , 1
20factsaboutmyinternetfriend, 33, 1, 0, 1, 1, 0, 0, 0, 0, 2.25162916739, 2 , 1
wesupportyouniallharryliamlouis, 37, 1, 0, 0, 1, 0, 1, 0, 1, 1.95021206491, 1 , 1
awkwardgreetingsin5words, 27, 1, 0, 1, 1, 1, 0, 0, 0, 1.5, 2 , 1
pleaseyourdatein4words, 26, 1, 0, 1, 1, 0, 1, 0, 0, 1.92192809489, 2 , 1
21reasonswhyiloveharry, 27, 1, 0, 1, 1, 0, 1, 1, 1, 2.25162916739, 1 , 1
annoyyourpartnerin5words, 29, 1, 0, 1, 1, 0, 1, 0, 0, 2.58496250072, 2 , 1
missuniverse2014, 18, 1, 0, 1, 1, 0, 1, 0, 0, 1.58496250072, 2 , 1
cutestcouple2015, 18, 1, 0, 1, 1, 1, 0, 0, 0, 1.58496250072, 2 , 1
20beautifulwomenchallenge, 28, 1, 0, 1, 1, 1, 0, 0, 0, 2.0, 2 , 1
nationaljellybeanday, 22, 1, 0, 0, 1, 1, 0, 0, 0, 0.918295834054, 2 , 1
happyaustraliaday, 19, 1, 0, 0, 1, 1, 0, 0, 0, 1.58496250072, 1 , 1
highschooltaughtme, 21, 1, 0, 0, 1, 1, 1, 0, 1, 2.0, 2 , 1
votejennifermorrison, 22, 1, 0, 0, 1, 0, 1, 0, 0, -0.0, 1 , 1
whatwedontunderstandaboutgirls, 35, 1, 0, 0, 1, 0, 1, 0, 1, 2.58496250072, 2 , 1
pointlessblogbestmoments, 27, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 2 , 1
cheesypickuplines, 20, 1, 0, 0, 1, 1, 1, 0, 0, 2.0, 2 , 1
top100womenontwitter, 24, 1, 0, 1, 1, 0, 0, 0, 0, 2.32192809489, 1 , 1
nationalpizzahutday, 22, 1, 0, 0, 1, 1, 0, 0, 0, 0.811278124459, 2 , 1
adviceforyoungfeminists, 26, 1, 0, 0, 1, 1, 0, 0, 0, 2.0, 2 , 1
bestfriendlines101, 21, 1, 0, 1, 1, 1, 0, 0, 0, 2.0, 2 , 1
filmfareawards2015, 20, 1, 0, 1, 1, 0, 0, 0, 0, 1.58496250072, 1 , 1
unformalcricket2015, 22, 1, 0, 1, 1, 1, 0, 0, 0, 1.5, 2 , 1
industrydiary2014, 19, 1, 0, 1, 1, 0, 0, 0, 0, 1.58496250072, 2 , 1
20thingsaboutmyinternetbestfriend, 39, 1, 0, 1, 1, 1, 0, 0, 0, 2.52164063634, 2 , 1
internationalhappinessday, 27, 1, 0, 0, 1, 1, 0, 0, 0, 0.918295834054, 2 , 1
thingsthatreallymatter, 25, 1, 0, 0, 1, 0, 1, 1, 0, 2.0, 2 , 1
internationalmothersday, 25, 1, 0, 0, 1, 1, 0, 0, 0, 1.58496250072, 2 , 1
thingsidoinmylivingroom, 29, 1, 0, 0, 1, 0, 1, 0, 1, 2.23592635063, 2 , 1
celebrityaward2015, 20, 1, 0, 1, 1, 0, 0, 0, 0, 0.918295834054, 2 , 1
eurobasketwomen2015, 21, 1, 0, 1, 1, 0, 0, 0, 0, 1.58496250072, 1 , 1
stopyulinfestival2015, 24, 1, 0, 1, 1, 0, 1, 0, 0, 1.5, 1 , 1
solareclipse2015, 18, 1, 0, 1, 1, 1, 0, 0, 0, 1.58496250072, 1 , 1
myxmusicawards2015, 21, 1, 0, 1, 1, 0, 0, 0, 0, 1.5, 1 , 1
nationaldressupyourpetday, 30, 1, 0, 0, 1, 1, 0, 0, 0, 1.91829583405, 2 , 1
whatdreamsaremadeof, 23, 1, 0, 0, 1, 0, 1, 0, 1, 2.32192809489, 2 , 1
stopmexicangirls2015, 23, 1, 0, 1, 1, 1, 1, 0, 0, 2.0, 2 , 1
supporttheswiss, 17, 1, 0, 0, 1, 0, 1, 0, 0, 1.58496250072, 2 , 1
hardcorecapitalist2016, 24, 1, 0, 1, 1, 1, 0, 0, 0, 1.58496250072, 2 , 1
truthforthefallen44, 23, 1, 0, 1, 1, 1, 0, 0, 0, 1.92192809489, 2 , 1
themeaningoflifein6words, 30, 1, 0, 1, 1, 0, 0, 0, 0, 2.23592635063, 2 , 1
internationalmensday, 22, 1, 0, 0, 1, 1, 0, 0, 0, 1.58496250072, 2 , 1
2015resolutionsilove, 23, 1, 0, 1, 1, 0, 1, 0, 1, 1.5, 2 , 1
annoyyourserverin5words, 27, 1, 0, 1, 1, 0, 1, 0, 0, 1.92192809489, 2 , 1
tweeklikeafemale, 19, 1, 0, 0, 1, 0, 1, 0, 0, 1.5, 2 , 1
wonderfulnewsinfourwords, 28, 1, 0, 1, 1, 1, 0, 0, 0, 2.32192809489, 2 , 1
happyinternetbestfriendday, 30, 1, 0, 0, 1, 1, 0, 0, 0, 1.37095059445, 2 , 1
delhielection2015, 19, 1, 0, 1, 1, 0, 0, 0, 0, 0.918295834054, 1 , 1
20reasonstoloveharry, 24, 1, 0, 1, 1, 0, 1, 0, 0, 2.32192809489, 1 , 1
januaryinthreewords, 22, 1, 0, 1, 1, 0, 0, 0, 0, 2.0, 1 , 1
thisiswhatdreamsaremadeof, 31, 1, 0, 0, 1, 0, 1, 0, 1, 2.80735492206, 2 , 1
reasonswhy5sosshouldcometobrazil, 38, 1, 0, 0, 1, 0, 1, 1, 0, 2.52164063634, 1 , 1
biglittlethingsin15min, 26, 1, 0, 0, 1, 1, 0, 0, 0, 1.92192809489, 2 , 1
mygreatestfearin5words, 25, 1, 0, 1, 1, 1, 0, 0, 0, 2.0, 2 , 1
bestlists2015, 15, 1, 0, 1, 1, 1, 0, 0, 0, 1.58496250072, 2 , 1
1000reasonstosmile, 21, 1, 0, 1, 1, 0, 1, 0, 0, 2.0, 2 , 1
nationalhugyourcatday, 25, 1, 0, 0, 1, 1, 0, 0, 0, 1.92192809489, 2 , 1
mymomalwayssaysin4words, 28, 1, 0, 1, 1, 0, 1, 1, 0, 2.25162916739, 2 , 1
1ofthebestueverheard, 26, 1, 0, 1, 0, 1, 1, 1, 1, 2.80735492206, 2 , 1
fictionalcharactersiwanttomarry, 36, 1, 0, 0, 1, 1, 1, 0, 0, 2.25162916739, 1 , 1
whyyousoobsessedwithme, 27, 1, 0, 0, 0, 0, 1, 1, 1, 2.25162916739, 2 , 1
lovestoryin5words, 21, 1, 0, 1, 1, 0, 1, 0, 0, 2.32192809489, 2 , 1
howtogetyourcrushtolikeyou, 33, 1, 0, 0, 1, 0, 1, 1, 1, 2.75, 2 , 1
fivewordstoruinadatewithafarmer, 39, 1, 0, 1, 1, 0, 1, 0, 0, 2.725480557, 2 , 1
breakupin4words, 19, 1, 0, 1, 1, 0, 1, 0, 0, 2.32192809489, 2 , 1
1ofthesickestueverheard, 25, 1, 0, 1, 0, 0, 1, 1, 0, 1.58496250072, 2 , 1
latenightconversations, 24, 1, 0, 0, 1, 1, 0, 0, 0, 1.58496250072, 2 , 1
worstcooksinamerica, 22, 1, 0, 0, 1, 1, 0, 0, 0, 2.0, 1 , 1
15minutesoffame, 18, 1, 0, 1, 1, 0, 0, 0, 0, 2.0, 2 , 1
bestvalueinwireless, 22, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 2 , 1
christianpickuplines, 23, 1, 0, 0, 1, 0, 1, 0, 0, 1.5, 1 , 1
whitepeopleconfessions, 24, 1, 0, 0, 1, 1, 0, 0, 0, 0.918295834054, 2 , 1
8secretsofahealthyfamily, 29, 1, 0, 1, 1, 1, 0, 0, 0, 2.58496250072, 2 , 1
hillaryemailaddresses, 23, 1, 0, 0, 1, 0, 0, 0, 0, 1.58496250072, 1 , 1
imhomefridaynightbecause, 28, 1, 1, 0, 1, 0, 0, 0, 0, 1.37095059445, 1 , 1
ineedmeninismbecause, 25, 1, 0, 0, 1, 0, 1, 0, 1, 1.91829583405, 1 , 1
genovia'sprincesses, 20, 1, 0, 0, 1, 1, 0, 0, 0, 0.918295834054, 2 , 1
TheWestMinsterUnionistRoadShow, 33, 1, 0, 0, 1, 0, 0, 0, 0, 0.811278124459, 1 , 1
TheWestWillTakeOverChina, 29, 1, 0, 0, 1, 0, 1, 0, 0, 2.25162916739, 1 , 1
TheWesternConference, 22, 1, 0, 0, 1, 1, 0, 0, 0, 1.58496250072, 2 , 1
gentelemenpreferplastic, 26, 1, 0, 0, 1, 0, 1, 0, 0, 2.0, 1 , 1
TheWesternSenators, 20, 1, 0, 0, 1, 1, 0, 0, 0, 1.58496250072, 2 , 1
gentequenosabedefutbol, 27, 1, 0, 0, 1, 0, 0, 0, 0, 1.25162916739, 1 , 1
TheWesternWhiteHouse, 22, 1, 0, 0, 1, 1, 0, 0, 0, 1.58496250072, 2 , 1
TheWestsideExperience, 24, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 2 , 1
gentlemenscoffeetime, 22, 1, 0, 0, 1, 0, 0, 0, 0, 0.918295834054, 1 , 1
TheWheelOfFortune, 20, 1, 0, 0, 1, 0, 0, 0, 0, 1.5, 2 , 1
TheWheelchairPresident, 24, 1, 0, 0, 1, 0, 0, 0, 0, 0.918295834054, 2 , 1
genuinefootballopinion, 24, 1, 0, 0, 1, 1, 0, 0, 0, 0.918295834054, 2 , 1
TheWhiteWolfProphecy's, 24, 1, 0, 0, 1, 0, 0, 0, 0, 0.811278124459, 2 , 1
geoengineeredweather, 22, 1, 0, 0, 1, 1, 0, 0, 0, 0.918295834054, 1 , 1
geographiclychallenged, 24, 1, 0, 0, 1, 0, 1, 0, 0, 1.58496250072, 2 , 1
TheWholeWorld2015, 20, 1, 0, 1, 1, 1, 0, 0, 0, 2.0, 2 , 1
geographyisdifficult, 22, 1, 0, 0, 1, 1, 1, 0, 0, 1.58496250072, 2 , 1
geographyisimportant, 22, 1, 0, 0, 1, 1, 1, 0, 0, 1.58496250072, 2 , 1
geometryfor8yearolds, 24, 1, 0, 1, 1, 0, 0, 0, 0, 1.92192809489, 1 , 1
TheWifeAlwaysWins, 20, 1, 0, 0, 1, 0, 1, 1, 0, 2.0, 2 , 1
geordiesarethefriendliest, 28, 1, 0, 0, 1, 1, 1, 0, 0, 2.0, 1 , 1
TheWildHairExperience!, 24, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 2 , 1
TheWillToWin, 15, 1, 0, 0, 0, 0, 1, 0, 0, 2.0, 2 , 1
TheWindOfChange, 18, 1, 0, 0, 1, 0, 0, 0, 0, 1.5, 2 , 1
georgiachampionshipwrestling, 30, 1, 0, 0, 1, 0, 0, 0, 0, 0.918295834054, 1 , 1
TheWinnerKeepsCalm, 21, 1, 0, 0, 1, 1, 1, 0, 0, 1.5, 2 , 1
georgiastatejokes, 19, 1, 0, 0, 1, 0, 0, 0, 0, 0.918295834054, 1 , 1
georgiaweathersucks, 21, 1, 0, 0, 1, 0, 1, 0, 0, 0.918295834054, 1 , 1
TheWinningEdgdeConference”, 29, 1, 0, 0, 1, 0, 0, 0, 0, 1.92192809489, 2 , 1
TheWinningTeamValues, 23, 1, 0, 0, 1, 1, 0, 0, 0, 2.0, 2 , 1
geriatricCareHealth, 21, 1, 0, 0, 1, 1, 0, 0, 0, 0.918295834054, 2 , 1
germanboysarebetter, 22, 1, 0, 0, 1, 1, 1, 0, 0, 2.0, 1 , 1
germanbreadrealbread, 23, 1, 0, 0, 1, 1, 0, 0, 0, 1.0, 1 , 1
germanchoclateisthebest, 27, 1, 0, 0, 1, 1, 1, 0, 0, 2.32192809489, 1 , 1
TheWisdomOfChildren, 22, 1, 0, 0, 1, 0, 0, 0, 0, 2.0, 2 , 1
germanrefereeingsucks, 23, 1, 0, 0, 1, 0, 1, 0, 0, 1.58496250072, 1 , 1
TheWisdomofTheSimpsons, 26, 1, 0, 0, 1, 0, 0, 0, 0, 1.92192809489, 1 , 1
germanysnextsuperstar, 24, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 1 , 1
germanywantsmcbusted, 23, 1, 0, 0, 1, 0, 1, 0, 0, 2.0, 0 , 1
TheWolverineState, 19, 1, 0, 0, 1, 0, 0, 0, 0, 0.918295834054, 1 , 1
TheWomanIsAlwaysRight, 25, 1, 0, 0, 1, 0, 1, 1, 0, 2.32192809489, 2 , 1
TheWomanIsntAlwaysRight, 27, 1, 0, 0, 1, 0, 1, 1, 0, 1.52192809489, 2 , 1
TheWomanOfMensDreams, 24, 1, 0, 0, 1, 0, 0, 0, 0, 1.92192809489, 2 , 1
TheWomanOfTheYear, 21, 1, 0, 0, 1, 0, 0, 0, 0, 1.52192809489, 2 , 1
TheWomanThatIsHerOwnMan, 29, 1, 0, 0, 1, 0, 1, 0, 0, 2.52164063634, 2 , 1
TheWonderList!, 15, 1, 0, 0, 1, 1, 0, 0, 0, 0.918295834054, 2 , 1
TheWonderOfScripture, 23, 1, 0, 0, 1, 0, 0, 0, 0, 1.5, 2 , 1
TheWonderOfSocialMedia, 26, 1, 0, 0, 1, 1, 0, 0, 0, 2.32192809489, 2 , 1
TheWonderfulWorldofTV, 25, 1, 0, 0, 1, 1, 0, 0, 0, 1.92192809489, 2 , 1
TheWondersofLivingAlone”, 27, 1, 0, 0, 1, 0, 1, 1, 0, 2.32192809489, 2 , 1
TheWoodSideOfTheThings, 26, 1, 0, 0, 1, 0, 0, 0, 0, 1.92192809489, 1 , 1
TheWordICouldntKeep, 23, 1, 0, 0, 1, 0, 1, 0, 1, 1.92192809489, 2 , 1
TheWorld'sTallestMan, 22, 1, 0, 0, 1, 1, 0, 0, 0, 2.0, 2 , 1
TheWorldAgainstChelsea, 25, 1, 0, 0, 1, 0, 0, 0, 0, 1.5, 1 , 1
TheWorldAgainstOhio, 22, 1, 0, 0, 1, 0, 0, 0, 0, 1.5, 1 , 1
TheWorldBeforeTheWeb, 24, 1, 0, 0, 1, 0, 0, 0, 0, 1.52192809489, 2 , 1
TheWorldBeforeUs!, 19, 1, 0, 0, 1, 0, 0, 0, 1, 2.0, 2 , 1
TheWorldDemandsToKnow, 25, 1, 0, 0, 1, 0, 1, 0, 0, 2.32192809489, 2 , 1
getabettermanager, 20, 1, 0, 0, 1, 1, 1, 0, 0, 2.0, 2 , 1
getabettervocabulary, 23, 1, 0, 0, 1, 1, 1, 0, 0, 2.0, 2 , 1
getabetterwatch, 18, 1, 0, 0, 1, 1, 1, 0, 0, 2.0, 2 , 1
TheWorldIsScaryandAwful, 28, 1, 0, 0, 1, 1, 1, 0, 0, 2.25162916739, 2 , 1
TheWorldMustUnite, 20, 1, 0, 0, 1, 0, 1, 0, 0, 2.0, 2 , 1
TheWorldNeedsLove, 20, 1, 0, 0, 1, 0, 1, 0, 0, 1.5, 2 , 1
TheWorldOfAliando., 21, 1, 0, 0, 1, 0, 1, 0, 0, 2.32192809489, 1 , 1
TheWorldThisWeek, 19, 1, 0, 0, 1, 0, 0, 0, 0, 1.0, 2 , 1
TheWorldofLittleHouse, 25, 1, 0, 0, 1, 1, 0, 0, 0, 1.92192809489, 2 , 1
TheWorldsBestCandles,, 23, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 2 , 1
TheWorldsPrettiestDog, 24, 1, 0, 0, 1, 1, 0, 0, 0, 2.0, 2 , 1
TheWorldsSafestAirline, 25, 1, 0, 0, 1, 1, 0, 0, 0, 2.0, 2 , 1
TheWorldsSecondBestLibertarian, 34, 1, 0, 0, 1, 1, 0, 0, 0, 1.92192809489, 2 , 1
TheWorldsUgliestUniforms, 27, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 2 , 1
TheWorldwideFollower, 22, 1, 0, 0, 1, 1, 0, 0, 0, 0.918295834054, 2 , 1
TheWorseGameRefereeEver, 27, 1, 0, 0, 1, 1, 0, 1, 0, 2.32192809489, 2 , 1
TheWorstCommentatorEVER, 26, 1, 0, 0, 1, 1, 0, 1, 0, 2.0, 2 , 1
TheWorstConversationStarter, 30, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 2 , 1
TheWorstFourWords, 20, 1, 0, 1, 1, 1, 0, 0, 0, 2.0, 2 , 1
TheWorstKindOfTorture, 25, 1, 0, 0, 1, 1, 0, 0, 0, 1.92192809489, 2 , 1
TheWrathOfBortles, 21, 1, 0, 0, 1, 1, 0, 0, 0, 1.92192809489, 1 , 1
TheWrathOfCowherd, 20, 1, 0, 0, 1, 0, 0, 0, 0, 1.5, 0 , 1
TheWussieficationOfAmerica, 31, 1, 0, 0, 1, 0, 0, 0, 0, 1.79248125036, 1 , 1
TheYearOfGrownHyuk, 22, 1, 0, 0, 1, 1, 0, 0, 0, 1.92192809489, 1 , 1
TheYearOfTheNGO, 19, 1, 0, 0, 1, 0, 0, 0, 0, 1.52192809489, 2 , 1
TheYoungCreativeAwards, 25, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 2 , 1
TheYoungProgrammers, 21, 1, 0, 0, 1, 1, 0, 0, 0, 1.58496250072, 2 , 1
TheYoungScrewThemselves, 26, 1, 0, 0, 1, 1, 0, 0, 1, 2.0, 2 , 1
TheYouthAreMisguided, 23, 1, 0, 0, 1, 1, 1, 0, 0, 2.0, 2 , 1
TheZeitgeistMovement:, 22, 1, 0, 0, 1, 0, 0, 0, 0, 0.918295834054, 2 , 1
TheZenMasterEffect, 21, 1, 0, 0, 1, 0, 0, 0, 0, 1.5, 1 , 1
getintonursing, 16, 1, 0, 0, 1, 0, 1, 0, 0, 1.58496250072, 2 , 1
TheaterShootingTrial, 22, 1, 0, 0, 1, 0, 1, 0, 0, 0.918295834054, 2 , 1
TheatreOfNighmltmares, 25, 1, 0, 0, 1, 0, 0, 0, 0, 1.92192809489, 2 , 1
TheatreOfTheAbsurd”, 21, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 2 , 1
Thebatmanofthebeerworld, 28, 1, 0, 0, 1, 0, 0, 0, 0, 1.45914791703, 1 , 1
ThebellsofNotreDame, 23, 1, 0, 0, 1, 0, 0, 0, 0, 2.32192809489, 2 , 1
Thebestmanintheworld, 25, 1, 0, 0, 1, 1, 0, 0, 0, 1.91829583405, 2 , 1
Thebestmovieofyear, 22, 1, 0, 0, 1, 1, 0, 0, 0, 1.92192809489, 2 , 1
ThebestofSJLeader, 21, 1, 0, 0, 1, 1, 0, 0, 0, 2.32192809489, 1 , 1
Thebestteamever, 18, 1, 0, 0, 1, 1, 0, 1, 0, 2.0, 2 , 1
Thebestthingever, 19, 1, 0, 0, 1, 1, 0, 1, 0, 2.0, 2 , 1
Thebestyoutuber, 18, 1, 0, 0, 1, 1, 0, 0, 1, 2.0, 2 , 1
Theblacklistrocks, 19, 1, 0, 0, 1, 0, 1, 0, 0, 1.58496250072, 2 , 1
TheboltCricketchampionship.,.,.,, 29, 1, 0, 0, 1, 0, 0, 0, 0, 0.811278124459, 2 , 1
Thechocolatepromise, 21, 1, 0, 0, 1, 0, 0, 0, 0, 0.918295834054, 2 , 1
Thecitythatneversleeps, 26, 1, 0, 0, 1, 0, 1, 1, 0, 2.32192809489, 2 , 1
Thecrazybrownmen, 19, 1, 0, 0, 1, 1, 0, 0, 0, 1.5, 2 , 1
ThecurseofHypocricy, 22, 1, 0, 0, 1, 0, 0, 0, 0, 1.5, 2 , 1
Thedaysofchildhood, 21, 1, 0, 0, 1, 0, 0, 0, 0, 2.0, 2 , 1
ThedevilisaLie, 18, 1, 0, 0, 1, 0, 1, 0, 0, 1.52192809489, 2 , 1
TheendoftheWorld, 20, 1, 0, 0, 1, 0, 0, 0, 0, 1.52192809489, 2 , 1
Thegirlfromfrance, 20, 1, 0, 0, 1, 0, 0, 0, 0, 1.5, 1 , 1
Thegreatbattleoftheskinnys, 32, 1, 0, 0, 1, 1, 0, 0, 0, 1.84237099318, 2 , 1
Thegreatdepression, 20, 1, 0, 0, 1, 1, 0, 0, 0, 1.58496250072, 2 , 1
TheguysattheBBMAS, 22, 1, 0, 0, 1, 0, 0, 0, 0, 1.91829583405, 1 , 1
Thejoysofparenting, 21, 1, 0, 0, 1, 0, 0, 0, 0, 2.0, 2 , 1
Thekidsneedyou., 17, 1, 0, 0, 1, 0, 1, 0, 1, 2.0, 2 , 1
